year,position,player,team
2015,외야수,김현수,두산
2015,외야수,유한준,kt
2015,지명타자,이승엽,삼성
2016,투수,니퍼트,두산
2016,포수,양의지,두산
2016,1루수,테임즈,NC
2016,2루수,서건창,넥센
2016,3루수,최정,SK
2016,유격수,김재호,두산
2016,외야수,김주찬,KIA
2016,외야수,최형우,KIA
2016,외야수,김재환,두산
2016,지명타자,김태균,한화
2017,투수,양현종,KIA
2017,포수,강민호,삼성
2017,1루수,이대호,롯데
2017,2루수,안치홍,KIA
2017,3루수,최정,SK
2017,유격수,김선빈,KIA
2017,외야수,버나디나,KIA
2017,외야수,최형우,KIA
2017,외야수,손아섭,롯데
2017,지명타자,박용택,LG
2018,투수,린드블럼,두산
2018,포수,양의지,두산
2018,1루수,박병호,넥센
2018,2루수,안치홍,KIA
2018,3루수,허경민,두산
2018,유격수,김하성,넥센
2018,외야수,이정후,넥센
2018,외야수,전준우,롯데
2018,외야수,김재환,두산
2018,지명타자,이대호,롯데
2019,투수,린드블럼,두산
2019,포수,양의지,NC
2019,1루수,박병호,키움
2019,2루수,박민우,NC
2019,3루수,최정,SK
2019,유격수,김하성,키움
2019,외야수,이정후,키움
2019,외야수,샌즈,키움
2019,외야수,로하스,kt
2019,지명타자,페르난데스,두산
2020,투수,알칸타라,두산
2020,포수,양의지,NC
2020,1루수,강백호,kt
2020,2루수,박민우,NC
2020,3루수,황재균,kt
2020,유격수,김하성,키움
2020,외야수,이정후,키움
2020,외야수,김현수,LG
2020,외야수,로하스,kt
2020,지명타자,최형우,KIA
2021,투수,미란다,두산
2021,포수,강민호,삼성
2021,1루수,강백호,kt
2021,2루수,정은원,한화
2021,3루수,최정,SSG
2021,유격수,김혜성,키움
2021,외야수,이정후,키움
2021,외야수,홍창기,LG
2021,외야수,구자욱,삼성
2021,지명타자,양의지,NC
2022,투수,안우진,키움
2022,포수,양의지,두산
2022,1루수,박병호,kt
2022,2루수,김혜성,키움
2022,3루수,최정,SSG
2022,유격수,오지환,LG
2022,외야수,이정후,키움
2022,외야수,나성범,KIA
2022,외야수,피렐라,삼성
2022,지명타자,이대호,롯데
2023,투수,페디,NC
2023,포수,양의지,두산
2023,1루수,오스틴,LG
2023,2루수,김혜성,키움
2023,3루수,노시환,한화
2023,유격수,오지환,LG
2023,외야수,박건우,NC
2023,외야수,홍창기,LG
2023,외야수,구자욱,삼성
2023,지명타자,손아섭,NC
2024,투수,하트,NC
2024,포수,강민호,삼성
2024,1루수,오스틴,LG
2024,2루수,김혜성,키움
2024,3루수,김도영,KIA
2024,유격수,박찬호,KIA
2024,외야수,레이예스,롯데
2024,외야수,로하스,kt
2024,외야수,구자욱,삼성
2024,지명타자,최형우,KIA
2025,투수,폰세,한화
2025,포수,양의지,두산
2025,1루수,디아즈,삼성
2025,2루수,신민재,LG
2025,3루수,송성문,키움
2025,유격수,김주원,NC
2025,외야수,레이예스,롯데
2025,외야수,안현민,kt
2025,외야수,구자욱,삼성
2025,지명타자,최형우,삼성
